"","StationX","StationY","FUAId","FUAName","NO2AveGround","Dist","Pop2015","CBDX","CBDY","StationBackgrd"
"1",1451977.18781,6074566.96269,199,"Salzburg",24.485654,29.1099375056,261062.845268,1451977.09514,6074537.8529,"Traffic"
"2",3113551.12558,5663043.26254,2727,"Brăila",18.422198,32.5209177237,171397.80155,3113524.29434,5663024.88607,"Background"
"3",1447372.01179,7480454.37286,481,"Malmö",12.021468,65.092431473,444899.077491,1447306.96258,7480456.74455,"Background"
"4",-139980.140851,6755361.63804,4792,"Oxford",39.00008,73.7666405173,482932.18074,-139915.241067,6755326.57331,"Traffic"
"5",966530.254298,6465426.72082,3093,"Frankfurt am Main",28.978129,93.6098249397,3025700.46852,966436.653291,6465428.00566,"Background"
"6",1156517.39803,7439180.33326,389,"Odense",10.711896,100.68209721,284640.038471,1156449.81689,7439105.70301,"Background"
"7",-179283.156868,7357646.02518,4227,"Newcastle upon Tyne",28.633598,104.64274834,1687394.75441,-179301.722833,7357749.00775,"Background"
"8",1693406.1202,8239476.0145,761,"Örebro",10.72045,106.455936504,156481.33723,1693448.20874,8239573.79702,"Background"
"9",3114158.30216,4916635.00575,1140,"Bandırma",26.958004,119.778533702,105730.645598,3114159.41543,4916754.77911,"Background"
"10",3223224.68646,5014513.10292,1637,"Istanbul",77.012642,200.01668679,14921594.9868,3223281.459,5014321.31253,"Traffic"
"11",2814734.03013,7299549.4091,853,"Vilnius",18.953056,213.269653474,615156.702216,2814929.14469,7299635.51516,"Background"
"12",1399408.45071,7493849.34246,537,"Copenhagen",38.929925,220.350045128,1987482.45485,1399304.16586,7494043.45277,"Traffic"
"13",-461125.517202,6510893.08451,825,"Plymouth",18.591232,240.474954632,397096.866474,-461350.270974,6510807.5629,"Background"
"14",1107659.21229,6828309.883,4014,"Hildesheim",36.49717,246.331169637,146151.464152,1107605.55683,6828550.29959,"Traffic"
"15",795642.479467,6667535.89231,1178,"Wuppertal",45.21145,264.597957602,843373.222159,795536.948759,6667293.24988,"Traffic"
"16",1056546.64546,6676683.11727,3713,"Kassel",39.618998,265.102435528,419848.680282,1056802.68006,6676614.37438,"Traffic"
"17",-423972.52583,5382338.59349,3249,"Santander",33.238647,290.807374902,287547.777817,-424124.840203,5382586.32169,"Traffic"
"18",972572.787578,5148748.57706,4653,"Ajaccio",28.18608,295.578562065,92858.6372241,972825.713088,5148901.53252,"Traffic"
"19",159784.6575,4708284.47436,4391,"Ibiza",11.494936,304.024217695,80664.7434645,160076.314391,4708370.30549,"Industrial"
"20",2419628.99265,4614232.41247,249,"Patras",30.360238,308.277237454,222899.470174,2419330.70284,4614154.57903,"Traffic"
"21",-187341.797446,6125299.50543,824,"Rennes",16.561725,325.708210407,569011.483489,-187032.897807,6125402.78588,"Background"
"22",-666969.615893,4493339.0693,2008,"Seville",16.546149,359.234998407,1256010.62941,-667318.274237,4493425.59758,"Background"
"23",-172152.475566,7133081.81237,4159,"Leeds",29.729654,360.174499283,2922157.55937,-172389.006797,7132810.19012,"Background"
"24",1212961.77329,6168671.59444,4520,"Augsburg",43.057853,362.106243171,547174.873279,1213232.44048,6168431.05296,"Traffic"
"25",950002.6495,6804463.77421,2818,"Bielefeld",41.453264,365.725195383,750188.655649,950040.458319,6804100.00861,"Traffic"
"26",2036030.8283,6418586.31816,1389,"Ostrava",36.820177,372.072315838,550274.947157,2036219.71369,6418906.88035,"Traffic"
"27",1489570.41056,6402632.24215,43,"Pilsen",20.423602,389.041352105,311181.289322,1489207.16473,6402771.54628,"Traffic"
"28",950010.219225,6804494.70985,2818,"Bielefeld",39.553776,395.857893269,750188.655649,950040.458319,6804100.00861,"Traffic"
"29",1964378.13226,8367989.93758,1242,"Uppsala",36.241567,402.922511693,209479.734237,1964656.32236,8368281.41111,"Traffic"
"30",4420755.24062,5013223.75242,5228,"Trabzon",19.245416,408.496593724,421041.7654,4421162.67048,5013253.25456,"Background"
"31",261712.122855,6250970.42123,2702,"Paris",34.232246,454.072715095,11709852.5595,261869.467193,6250544.48134,"Background"
"32",2264852.14709,5448923.30625,890,"Čačak",15.397761,458.39973098,91583.8939286,2265300.43002,5448827.53189,"Background"
"33",1408283.95371,5245237.37097,3918,"Terni",14.074001,482.54628768,132125.831179,1407816.41137,5245356.76561,"Traffic"
"34",-121956.958694,6585699.45083,4867,"Portsmouth",30.575623,485.34220453,1338017.67463,-121505.668259,6585520.86192,"Traffic"
"35",2712362.84529,7503864.58245,580,"Panevėžys",16.010366,486.417911784,111179.374004,2711966.96807,7504147.21934,"Background"
"36",1135552.52597,7588446.1578,229,"Aarhus",25.112741,488.481802861,466716.257195,1135807.24363,7588862.97117,"Traffic"
"37",3104753.25234,4815018.97184,1353,"Balıkesir",34.925081,499.630829607,276636.681801,3104328.79072,4814755.41293,"Traffic"
"38",688047.182238,6295152.55717,4088,"Metz",20.414919,504.823410636,361241.200459,687543.165661,6295181.08726,"Background"
"39",738824.900047,6403114.34133,945,"Trier",41.995718,514.64073814,177589.992508,738450.761568,6403467.71859,"Traffic"
"40",2144755.70667,5227257.93466,116,"Podgorica",18.627732,515.678622558,135851.096335,2144242.71028,5227310.46223,"Traffic"
"41",963330.486855,6423698.71147,3297,"Darmstadt",49.584148,521.379945095,356087.587512,963578.508268,6424157.3207,"Traffic"
"42",2641260.06753,4576347.59789,959,"Athens",44.246697,526.659080917,3747423.8788,2641319.33411,4576870.91162,"Traffic"
"43",1268191.83659,5985046.08984,8,"Innsbruck",34.411983,531.250351749,244610.309811,1268359.75632,5985550.10363,"Background"
"44",1332521.13279,7906438.52163,165,"Gothenburg",17.267878,550.371743623,876233.739358,1332140.20991,7906041.27257,"Background"
"45",414301.405245,6631321.35728,657,"Ghent",24.681818,551.688830421,899790.149447,414695.415183,6630935.20092,"Traffic"
"46",963273.157317,6423692.8392,3297,"Darmstadt",66.552461,555.861733814,356087.587512,963578.508268,6424157.3207,"Traffic"
"47",1963613.92396,6054655.10731,412,"Győr",29.340285,565.175308682,183742.301577,1963146.64872,6054337.18125,"Traffic"
"48",854735.540599,5633470.43075,85,"Turin",51.899691,578.269346347,1784834.15615,855070.760394,5632999.23745,"Traffic"
"49",924440.466149,5949553.00482,1380,"Lucerne",37.443751,581.639285768,348628.157363,924447.144872,5950134.60576,"Traffic"
"50",2023417.64872,4917217.8195,5071,"Lecce",29.359968,582.949599746,165010.764554,2022885.54168,4917455.92102,"Traffic"
"51",2329363.79575,5467233.30643,1343,"Kragujevac",33.19027,599.493849534,160319.244874,2328822.6714,5467491.33223,"Background"
"52",2132324.71034,6230015.57964,623,"Banská Bystrica",34.284089,619.195314522,126248.72386,2132535.35137,6230597.84521,"Traffic"
"53",-659994.670558,7284550.84283,242,"Belfast",27.377427,625.154560382,947014.057843,-660151.636567,7283945.71483,"Background"
"54",295645.643233,4803662.75035,4589,"Palma de Mallorca",34.845823,637.541116224,567248.51172,295016.324156,4803560.69069,"Traffic"
"55",-186998.933414,6124759.34126,824,"Rennes",32.050205,644.340406151,569011.483489,-187032.897807,6125402.78588,"Traffic"
"56",561167.78698,5995406.97988,3798,"Dijon",20.533265,644.890805395,341032.959521,561226.373185,5994764.75577,"Background"
"57",1563266.64057,6561562.83087,227,"Ústí nad Labem",23.167249,652.774386163,274487.509182,1562628.45949,6561425.57451,"Background"
"58",845164.513419,6508747.10165,1846,"Koblenz",41.800909,687.372497852,456236.586197,845831.978668,6508911.33043,"Traffic"
"59",121749.459164,6350273.81438,2159,"Rouen",22.211853,700.002172074,671639.45266,122436.592842,6350407.41958,"Background"
"60",1075531.85065,5731716.23818,1943,"Bergamo",41.023061,715.093697723,958533.75705,1076226.81842,5731547.77811,"Traffic"
"61",415378.327791,6630719.36443,657,"Ghent",35.299999,716.208782815,899790.149447,414695.415183,6630935.20092,"Traffic"
"62",914165.009232,7009462.54208,2153,"Oldenburg",47.561437,731.539830732,241914.286086,914392.769338,7008767.36163,"Traffic"
"63",664701.369949,6601515.96221,2901,"Heerlen",26.507219,751.205345893,278377.733594,665417.175966,6601288.07799,"Traffic"
"64",-164540.894064,7053342.14611,4460,"Sheffield",23.079487,757.218973238,1145121.88929,-163906.377769,7053755.38895,"Background"
"65",1717876.25935,5953383.13482,654,"Graz",27.173631,762.309222877,441137.873177,1718595.01548,5953637.11312,"Background"
"66",1813580.40857,5046573.2245,4846,"Andria",22.261243,769.237216189,98827.2734375,1813996.74372,5045926.39304,"Traffic"
"67",739128.02302,5864398.35122,215,"Lausanne",33.130674,776.788969717,430839.047806,738352.125807,5864361.14076,"Traffic"
"68",2074470.21435,7237359.94637,2037,"Gdansk",19.358919,782.516007612,973301.498423,2075113.16626,7236913.91482,"Background"
"69",38467.1179606,5874416.85468,2010,"Poitiers",19.505626,785.56597061,235760.435474,37974.6152055,5873804.84575,"Background"
"70",-526974.099594,5109604.9429,2881,"Valladolid",21.522588,803.235811772,384061.604943,-526391.451265,5109052.0336,"Industrial"
"71",973724.38771,6749435.22482,3144,"Paderborn",42.785125,807.221455045,238769.577031,974487.482035,6749171.98818,"Traffic"
"72",1212829.08046,6167725.20903,4520,"Augsburg",28.088583,812.966763929,547174.873279,1213232.44048,6168431.05296,"Traffic"
"73",4068961.15942,4912357.71178,4574,"Tokat",39.20939,814.810612216,152248.493536,4068672.84192,4911595.61641,"Traffic"
"74",415143.573489,6631618.42142,657,"Ghent",25.74942,817.090031059,899790.149447,414695.415183,6630935.20092,"Background"
"75",2740129.93379,5374863.54197,206,"Pleven",23.065272,826.784659198,90631.9598494,2740724.65024,5374289.18562,"Traffic"
"76",1996885.76128,4959101.28949,5051,"Brindisi",17.775131,831.030325976,82017.1499529,1997712.86556,4959181.97352,"Traffic"
"77",139914.684991,5753324.06529,2233,"Limoges",16.367561,836.647003455,246985.045426,140302.087276,5752582.51443,"Background"
